video_id,video_title,channel_id,channel_name,subscriber_count,publish_date,video_url,duration,view_count,like_count,comment_count,tags,category,thumbnail_url,keyword,collection_date,duration_seconds,duration_category,day_cleaned,month_cleaned,year_cleaned
GzNMN7Ijd8k,How to Earn ₹1 Lakh Per Month ??@PWEarnersPC,UCiGyWN6DEbnj2alu7iapuKQ,Physics Wallah - Alakh Pandey,14300000,2026-06-07T15:19:19Z,https://www.youtube.com/watch?v=GzNMN7Ijd8k,00:54:21,1489776,60814,5161,,Education,https://i.ytimg.com/vi/GzNMN7Ijd8k/hqdefault.jpg,data analyst,2026-08-11,3261,Medium Video (30-60 minutes),7,6,2026
68FcZUpgC7w,AI Engineer Full Course  | 16+ Hours | Beginner to Pro | Build Real AI Projects,UCxZC-5v-UccF6FXGI7VXgoQ,The iScale,349000,2026-06-30T12:35:43Z,https://www.youtube.com/watch?v=68FcZUpgC7w,16:04:15,312651,14622,919,AI Engineer Full Course|AI Engineer|AI Course|Artificial Intelligence|AI Tutorial|Machine Learning|Deep Learning|Generative AI|Gen AI|Large Language Models|LLM|AI Agents|LangChain|RAG|MCP|Prompt Engineering|Python for AI|Python|AI Projects|ChatGPT|Google Gemini|Claude AI|AI Career|AI Masterclass|AI Full Course|Learn AI|AI Workflow|Data Science|AI Engineer complete course|Ai Engineer beginner to pro|AI engineer full guide,Education,https://i.ytimg.com/vi/68FcZUpgC7w/hqdefault.jpg,data analyst,2026-08-11,57855,Long Video (1 hour or more),30,6,2026
X_IQ41y9jbg,"Orientation Session  || Earners LAPTOP - Video Editing, Data Analytics, Coding, Web Devlopment, DSA",UCDkox5NLaLtrYssKumtfzNA,Earners LAPTOP,57100,2026-06-18T13:44:33Z,https://www.youtube.com/watch?v=X_IQ41y9jbg,00:44:45,182943,4658,960,,People & Blogs,https://i.ytimg.com/vi/X_IQ41y9jbg/hqdefault.jpg,data analyst,2026-08-11,2685,Medium Video (30-60 minutes),18,6,2026
MOzEvNYvbik,"Data Analyst Bootcamp (FREE 35+ Hour Full Course) - SQL, Excel, Power BI, Python, AI & GitHub",UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,661000,2026-06-02T12:00:29Z,https://www.youtube.com/watch?v=MOzEvNYvbik,35:37:05,153919,6906,479,,Howto & Style,https://i.ytimg.com/vi/MOzEvNYvbik/hqdefault.jpg,data analyst,2026-08-11,128225,Long Video (1 hour or more),2,6,2026
ol9_NnC9-cc,"Data Engineer Bootcamp (FREE 27+ Hour Course) - SQL, Python, Cloud, Bash, AI, Git & GitHub",UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,661000,2026-06-15T12:00:33Z,https://www.youtube.com/watch?v=ol9_NnC9-cc,27:19:55,110471,4952,260,,Howto & Style,https://i.ytimg.com/vi/ol9_NnC9-cc/hqdefault.jpg,data analyst,2026-08-11,98395,Long Video (1 hour or more),15,6,2026
e1_XvYWWwX0,Would I Become a Data Analyst Again in 2026? (Honest Answer),UC9-dovPdcjK2rJHwer-YHiQ,Data Logic With Shivam,20100,2026-06-09T11:30:07Z,https://www.youtube.com/watch?v=e1_XvYWWwX0,00:10:54,101883,3592,769,data analyst 2026|data analyst career|data analyst roadmap|is data analyst worth it|data analytics career|data analyst salary|data analyst career path|data analyst for beginners|data analyst roadmap 2026|data analytics roadmap|data science vs data analyst|business analyst vs data analyst|how to become data analyst|senior data analyst|data analyst interview|data analytics jobs|career in data analytics|future of data analyst|data analyst skills,Education,https://i.ytimg.com/vi/e1_XvYWWwX0/hqdefault.jpg,data analyst,2026-08-11,654,Short Video (5-30 minutes),9,6,2026
AFAnUbXdomI,"ISRO Free Data Analyst Certification Course | No Fees, No Exam | Government Free Online Courses 2026",UCBm0hPI-ykEloE6c8Tf15Vw,Tricky Man,744000,2026-06-11T15:01:55Z,https://www.youtube.com/watch?v=AFAnUbXdomI,00:07:50,93951,2973,295,#Trickyman|Piyush Sharma|ISRO free course|ISRO free certification|ISRO data analyst course|ISRO free data analyst certification|ISRO online course 2026|ISRO free certificate 2026|government online course India 2026|free government course no fees|free government certificate 2026|free online course with certificate 2026|free certification 2026 India|free IT course India 2026|free course for students India|best free certification 2026|free certificate for resume,Education,https://i.ytimg.com/vi/AFAnUbXdomI/hqdefault.jpg,data analyst,2026-08-11,470,Short Video (5-30 minutes),11,6,2026
_CG328LLzGI,#1 Certificate To Be an AI Engineer / Data Engineer / Data Analyst,UCn1USB9-5UqKJTSHd1JGcVw,Rajeev Kanth | BEPEC,139000,2026-06-24T11:47:14Z,https://www.youtube.com/watch?v=_CG328LLzGI,00:00:56,79676,8,0,agentic ai|data engineering|azure|python|generative ai|learn python|python tutorial|generative ai explained|python programming|data engineering roadmap|python tutorial for beginners|python full course|agentic ai explained|what is agentic ai|generative ai tutorial|ai agents|ai|artificial intelligence|ai agents vs agentic ai|machine learning|llm|data engineer|ai agent|ai agents explained|chatgpt|mcp|data analyst|sql|databricks|ai tools|langchain,Education,https://i.ytimg.com/vi/_CG328LLzGI/hqdefault.jpg,data analyst,2026-08-11,56,Very Short Video (Less than 5 minutes),24,6,2026
Puchlm8KY4w,Report Making - Part time Work from Home job | Open for all | Data Analyst | Apply Now,UCnICliL8VXIuJBGCsZD2SXQ,Infinity info ,131000,2026-06-06T14:57:41Z,https://www.youtube.com/watch?v=Puchlm8KY4w,00:03:54,71682,1501,340,Report Making|Part Time Job|Work From Home|Data Analyst|Data Entry|Remote Job|Online Job|WFH Jobs|Freshers Jobs|Students Jobs|Work From Home India|Data Analyst Job|Report Preparation|Excel Work|Online Earning|Home Based Job|Freelance Work|Virtual Job|June 2026 Jobs|Hiring Now|Apply Now|Work from Home job|Work at Home|Data analyst job|Work from Home data analyst,Education,https://i.ytimg.com/vi/Puchlm8KY4w/hqdefault.jpg,data analyst,2026-08-11,234,Very Short Video (Less than 5 minutes),6,6,2026
t_APC2phQJg,Is Ferrari's Barcelona Pace Here to Stay? | DATA ANALYSIS + Austria Predictions,UCGpCXXuMbeXo3wmhr2MBYGw,Formula Insights,18400,2026-06-14T21:18:01Z,https://www.youtube.com/watch?v=t_APC2phQJg,00:34:31,63019,1794,198,,Sports,https://i.ytimg.com/vi/t_APC2phQJg/hqdefault.jpg,data analyst,2026-08-11,2071,Medium Video (30-60 minutes),14,6,2026
gN5Fdkcyfug,Data Analyst Roadmap 2026 | Land Your First Data Analytics Job,UCTFX9jghMOaK9eVhq8NTWuQ,PW Medharthi,5860,2026-06-12T06:19:18Z,https://www.youtube.com/watch?v=gN5Fdkcyfug,00:10:56,56487,2310,109,Data Analyst Roadmap 2026|Data Analytics Career|Data Analyst Jobs|SQL for Beginners|Excel for Data Analysis|Power BI Tutorial|Data Analytics Skills|Portfolio Projects|Interview Preparation|data analyst interview|data analytics|data analytics with AI|data analytics with python|data scientist|data analyst,Education,https://i.ytimg.com/vi/gN5Fdkcyfug/hqdefault.jpg,data analyst,2026-08-11,656,Short Video (5-30 minutes),12,6,2026
YMBw-zJgwdU,"PhonePe Data Analysis Project in Power BI | Business Insights, DAX, KPI Dashboard & Resume Project",UCgtmKagFIv8ED_aElX_WIoQ,DataCliq,2230,2026-06-09T11:32:47Z,https://www.youtube.com/watch?v=YMBw-zJgwdU,00:59:14,51111,1528,133,power bi project|power bi dashboard|power bi for beginners|phonepe power bi project|data analytics project|resume project|data analyst portfolio|business analyst project|data analyst roadmap|data analyst jobs|fresher jobs|data analyst internship|power bi dashboard project|real world project|power bi resume project|excel power bi python|data analyst fresher|power bi case study|fresher placement|data analyst career|data analyst internship project,Education,https://i.ytimg.com/vi/YMBw-zJgwdU/hqdefault.jpg,data analyst,2026-08-11,3554,Medium Video (30-60 minutes),9,6,2026
MfhBhVdRuMs,"No Power BI, No Tableau, Create Interactive Dashboard in Excel.",UCRDhrUdd9yoVoFFQqadR4FQ,Satish Dhawale,357000,2026-06-19T13:11:39Z,https://www.youtube.com/watch?v=MfhBhVdRuMs,00:36:25,48066,1690,99,xlbooster|ai excel dashboard|ai automation excel|excel dashboard tutorial|excel dashboard project|excel automation|power query excel|dashboard in excel|interactive excel dashboard|excel data analysis|excel dashboard with power query|business intelligence excel|excel productivity tools|excel kpi dashboard|data analyst excel|excel project|dashboard design excel|power query tutorial|excel reporting|skill course|satish dhawale|XLBooster|AI tool|dashboard,People & Blogs,https://i.ytimg.com/vi/MfhBhVdRuMs/hqdefault.jpg,data analyst,2026-08-11,2185,Medium Video (30-60 minutes),19,6,2026
h1_OKYcSY_E,Data Scientist or AI Engineer? | The Ultimate Career Comparison | Intellipaat,UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,13300000,2026-06-18T15:30:25Z,https://www.youtube.com/watch?v=h1_OKYcSY_E,00:00:38,47135,533,7,ai engineer|data scientist|ai engineer vs data scientist|artificial intelligence|machine learning|data science|generative ai|gen ai|ai careers|data science career|machine learning engineer|ai jobs|data scientist salary|ai engineer salary|tech careers 2026|career in data science|ai roadmap|data science roadmap|machine learning career|future of ai|ai skills|data analytics|deep learning|neural networks|tech jobs|ai for beginners|intellipaat,Education,https://i.ytimg.com/vi/h1_OKYcSY_E/hqdefault.jpg,data analyst,2026-08-11,38,Very Short Video (Less than 5 minutes),18,6,2026
8HW5LkWKtu8,Data Analyst Mock Interview | Top SQL Interview Questions & Answers (2026).,UCw1Q0aT35kqqHsrIjmd-vhQ,Skillcure Academy,11100,2026-06-13T02:30:27Z,https://www.youtube.com/watch?v=8HW5LkWKtu8,00:18:32,43700,836,36,Skillcure Academy|Data Analytics Course|Data Science Course|courses|IT courses|Digital Marketing Course|Graphic Design Course|SAP FICO Training|SAP MM Training|Python for Data Science|Data Analytics Training in Noida|Data Science Training in Noida,Education,https://i.ytimg.com/vi/8HW5LkWKtu8/hqdefault.jpg,data analyst,2026-08-11,1112,Short Video (5-30 minutes),13,6,2026
